id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639-3,iso639-1,scope,type,speakers,logo,logoDesc
4944,Old Chinese,上古漢語,,,oldc1244,sino1245,sini1245,language,36.12,114.32,CN,och,,I,A,,och,"Fu Hao (? – c. 1200 BC), one of the many wives of King Wu Ding of the Shang dynasty who served as a military general and high priestess"
4945,Occitan,Occitan,,6000,occi1239,indo1319,occi1240,language,44.1415,6.82979,AD ES FR IT MC,oci,oc,I,L,800000,oc,"Frédéric Mistral (1830 – 1914), a French writer of Occitan literature and lexicographer of the Provençal form of the language"
4946,Old Cornish,,,,oldc1252,indo1319,corn1251,dialect,,,,oco,,I,H,,,
4947,Tlahuica,,"Ocuiltec, Atzingo Matlatzinca",11,atzi1235,otom1299,matl1258,language,19.3871,-99.9239,MX,ocu,,I,L,,,
4948,Odut,,,,odut1238,book1242,book1242,language,5.20317,8.27253,NG,oda,,I,L,,,
4949,Od,,,,oddd1238,indo1319,raja1256,language,27.53636,67.84754,IN,odk,,I,L,,,
4950,Old Dutch,,,648,oldd1237,indo1319,macr1270,language,52.16,5.2,NL,odt,,I,H,,,
4951,Odual,,,1,odua1238,atla1278,abua1243,language,4.83273,6.41493,NG,odu,,I,L,,,
4952,Ofo,,,,ofoo1242,siou1252,sout2988,language,30.43,-91.75,US,ofo,,I,E,,,
4953,Old Frisian,,,520,oldf1241,indo1319,fris1239,language,53.35,6.8,NL,ofs,,I,H,,,
4954,Efutop,,,1,efut1242,atla1278,ndee1247,language,5.92431,8.35425,NG,ofu,,I,L,,,
4955,Ogbia,,,1,ogbi1239,atla1278,kugb1242,language,4.75352,6.34034,NG,ogb,,I,L,,,
4956,Ogbah,,,1,ogba1241,atla1278,igbo1259,language,5.25057,6.53895,NG,ogc,,I,L,,,
4957,Old Georgian,,,412,oldg1234,kart1248,geor1253,language,41.604313,43.06151,GE,oge,,I,H,,,
4958,Ogbogolo,,,,ogbo1242,atla1278,kugb1242,language,4.90943,6.54706,NG,ogg,,I,L,,,
4959,Khana,Khana,,1,khan1278,atla1278,taik1252,language,4.70908,7.44363,NG,ogo,,I,L,,,
4960,Ogbronuagum,,,2,ogbr1243,atla1278,kugb1242,language,4.74842,6.9058,NG,ogu,,I,L,,,
4961,Old Hittite,,,,,,,,,,,oht,,I,A,,,
4962,Old Hungarian,,,,,,,,,,,ohu,,I,H,,,
4963,Oirata,,,1,oira1263,timo1261,fata1246,language,-8.09044,127.201,ID,oia,,I,L,,,
4964,Inebu One,,,2,ineb1235,nucl1708,cent2238,language,-3.38015,141.892,PG,oin,,I,L,,,
4965,Northwestern Ojibwa,,,,nort2961,algi1248,nort3181,language,51.6192,-87.7862,CA,ojb,,I,L,35000,,
