id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639-3,iso639-1,scope,type,speakers,logo,logoDesc,code,direction,apostrophe,han,continua,scripts,omniglot,agglutinative,indo,locales,hostCountryLocales
1956,French Sign Language,Langue des signes française,,10,fren1243,sign1238,lsfi1234,language,47,3,FR TG,fsl,,I,L,,,,fsl,ltr,FALSE,FALSE,FALSE,[],,FALSE,FALSE,,"fr,fr-BE,fr-CA,fr-CH,fr-FR"
1970,Friulian,Furlan,,1944,friu1240,indo1319,gall1280,language,46.1473,13.0493,AT IT,fur,,I,L,600000,fur,"Amedeo Giacomini (1939 – 2006), a contemporary Italian writer and poet",fur,,FALSE,FALSE,FALSE,"[{""lang"":""fur"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",friulian.htm,FALSE,FALSE,,"de,de-AT,de-CH,de-DE,it,it-IT"
1991,Gan,赣语 ,,,ganc1239,sino1245,midd1354,language,27.9896,115.166,CN,gan,,I,L,55000000,gan,"Rao Pingru (1922–2020), a Chinese comic book author who wrote the autobiographical love memoir ‘Our Story’",gan,,FALSE,FALSE,FALSE,"[{""lang"":""gan"",""script"":""Hans"",""ms"":"""",""ml"":"""",""p"":""N"",""direction"":""""}]",../chinese/gan.htm,FALSE,FALSE,,"zh,zh-CN,zh-Hans,zh-Hant,zh-HK,zh-SG,zh-TW"
2127,Guinea Kpelle,Kpɛlɛɛwoo,,,guin1254,mand1469,kpel1252,language,7.93196,-8.98843,GN LR,gkp,,I,L,808000,,,gkp,ltr,FALSE,FALSE,FALSE,[],,FALSE,FALSE,,"fr,fr-BE,fr-CA,fr-CH,fr-FR,en,en-AU,en-CA,en-GB,en-IE,en-IN,en-US,en-ZA"
2129,Scottish Gaelic,Gàidhlig,,15834,scot1245,indo1319,east2734,language,56.7574,-5.24366,GB,gla,gd,I,L,57000,gd,"Sorley MacLean (1911 – 1996), a Scottish Gaelic poet",gd,,FALSE,FALSE,FALSE,"[{""lang"":""gd"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",gaelic.htm,FALSE,FALSE,gd,
2132,Irish,Gaeilge,,31634,iris1253,indo1319,mode1265,language,53.2186,-7.61509,GB IE,gle,ga,I,L,170000,ga,"Francis Bacon (1909 – 1992), an Irish-born British figurative painter known for his raw, unsettling imagery",ga,,FALSE,FALSE,FALSE,"[{""lang"":""ga"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",irish.htm,FALSE,FALSE,ga,
2133,Galician,Galego,,33437,gali1258,indo1319,gali1263,language,42.2446,-7.5343,ES PT,glg,gl,I,L,2400000,gl,"Rosalía de Castro (1837 – 1885), a Galician poet, strongly identified with her native Galicia and the celebration of the Galician language",gl,,FALSE,FALSE,FALSE,"[{""lang"":""gl"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",galician.htm,FALSE,FALSE,gl,
2142,Manx,Gaelg,,7565,manx1243,indo1319,east2734,language,54.2604,-4.45437,IM,glv,gv,I,L,1800,gv,"Doug Fargher (1926 – 1987), a Manx language activist, author, and radio personality who was involved with the revival of the Manx language on the Isle of Man in the 20th century",gv,,FALSE,FALSE,FALSE,"[{""lang"":""gv"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",manx.htm,FALSE,FALSE,gv,ga
2185,Old High German,Althochdeutsch,,1537,oldh1241,indo1319,high1286,language,52,10,DE,goh,,I,H,,goh,"Otto I (912 – 973), an East Francian king and Holy Roman Emperor",goh,,FALSE,FALSE,FALSE,"[{""lang"":""goh"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",,FALSE,FALSE,,"de,de-AT,de-CH,de-DE"
2197,Gothic,𐌲𐌿𐍄𐌹𐍃𐌺 ,,21435,goth1244,indo1319,east2805,language,46.9304,29.9786,UA,got,,I,A,,got,"J. R. R. Tolkien (1892–1973), an English writer, poet, philologist, and academic who made use of Gothic as a creative language",got,ltr,FALSE,FALSE,FALSE,[],gothic.htm,FALSE,FALSE,,uk
2213,Ancient Greek,Ἑλληνική ,,30187,anci1242,indo1319,east2798,language,39.8155,21.9129,GR,grc,,I,H,,grc,"Epicurus (341–270 BC), an ancient Greek philosopher and sage who founded Epicureanism, a highly influential school of philosophy",grc,,FALSE,FALSE,FALSE,"[{""lang"":""grc"",""script"":""Grek"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",greek.htm,FALSE,FALSE,el,
2220,Guaraní,Avañe'ẽ,,262,para1311,,,,-34,-64,AR PY,grn,gn,M,L,6500000,gn,,gn,,FALSE,FALSE,FALSE,"[{""lang"":""gn"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",guarani.htm,FALSE,FALSE,gn,
2240,Alemannic German,Schweizerdeutsch,"Swiss German,Walser German,Walserdeutsch,Walser,Wallisertiitsch,Italian Walser,Pomattertitsch,Formazza,Kampel,Remmaljertittschu,Rimella,Chalchoufe,Titzschu,Alagna,Greschóneytitsch,Greschóney,Greschoney,Gressoney,Éischemtöitschu,Issime",1647,swis1247,indo1319,sout3294,language,47.0516,8.46419,AT CH DE FR IT LI,gsw,,I,L,,,,gsw,,FALSE,FALSE,FALSE,"[{""lang"":""gsw"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",swissgerman.htm,FALSE,FALSE,,"de,de-AT,de-CH,de-DE,fr,fr-BE,fr-CA,fr-CH,fr-FR,it,it-IT"
2252,Gujarati,ગુજરાતી,,3374,guja1252,indo1319,guja1256,language,22.687,71.0962,BD IN PK,guj,gu,I,L,56000000,gu,"Keshavram Kashiram Shastri (born 1905), the founding leader of the Vishwa Hindu Parishad",gu,,FALSE,FALSE,FALSE,"[{""lang"":""gu"",""script"":""Gujr"",""ms"":"""",""ml"":"""",""p"":""N"",""direction"":""""}]",gujarati.htm,FALSE,TRUE,gu,
2323,Hakka,客家話（台灣）,,,hakk1236,sino1245,midd1354,language,25,116,CN TW,hak,,I,L,47800000,hak,"Sun Yat-sen (1866 – 1925), a Chinese statesman, physician, and political philosopher, who served as the provisional first president of the Republic of China",hak,,FALSE,TRUE,TRUE,"[{""lang"":""hak"",""script"":""Hans"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",../chinese/hakka.htm,FALSE,FALSE,"hak-TW,zh,zh-CN,zh-Hans,zh-Hant,zh-SG,zh-TW,zh-HK",
2333,Hausa,Hausa,,1314,haus1257,afro1255,west2718,language,11.1513,8.7804,BF BJ CM NE NG TD,hau,ha,I,L,60000000,ha,"Balaraba Ramat Yakubu (born 1959), a Nigerian author who writes in Hausa",ha,rtl,FALSE,FALSE,FALSE,"[{""lang"":""ha"",""script"":""Arab"",""ms"":"""",""ml"":"""",""p"":""N"",""direction"":""rtl""},{""lang"":""ha"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",hausa.htm,FALSE,FALSE,ha,
2342,Ancient Hebrew,עִבְרִית ,,,anci1244,afro1255,hebr1246,language,31.7761,35.1725,IL,hbo,,I,H,,hbo,"Moses, the most important prophet in Judaism",hbo,rtl,FALSE,FALSE,FALSE,"[{""lang"":""hbo"",""script"":""Hebr"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""rtl""}]",,FALSE,FALSE,"he,he-IL,iw",
