traditional,pronunciation,pronunciations,audio,definitions,pos
一坵田,id²kiu²⁴tien¹¹,四⃞id²kiu²⁴tien¹¹ 海⃞rhid⁵kiu⁵³tien⁵⁵ 大⃞rhid²¹kiu³³tien¹¹³ 平⃞rhid²kiu¹¹tien⁵⁵ 安⃞rhid²⁴kiu¹¹teen⁵³ 南⃞id²kiu²⁴tien¹¹,05836,指一塊田，坵為田畦。,名
一墩草,id²dun²⁴co³¹,四⃞id²dun²⁴co³¹ 海⃞rhid⁵dun⁵³co²⁴ 平⃞rhid²dun¹¹co⁵³ 南⃞id²dun²⁴co³¹,05830,指一堆草。,名
一尋長,id²kim¹¹cong¹¹,四⃞id²kim¹¹cong¹¹ 海⃞rhid⁵cim⁵⁵chong⁵⁵ 大⃞rhid²¹kim¹¹³chong¹¹³ 平⃞rhid²cim⁵⁵chong⁵⁵ 安⃞rhid²⁴cim⁵⁵chong⁵³ 南⃞id²kim¹¹cong¹¹,05835,大約兩臂伸展開來的長度，尋，指兩臂張開之長。,名
一尺風三尺浪,id²cag²fung²⁴sam²⁴cag²long⁵⁵,四⃞id²cag²fung²⁴sam²⁴cag²long⁵⁵ 海⃞rhid⁵chag⁵fung⁵³sam⁵³chag⁵long³³ 大⃞rhid²¹chag²¹fung³³sam³³chag²¹long⁵³ 平⃞rhid²chag²fung¹¹sam¹¹chag²long⁵³ 安⃞rhid²⁴cha²⁴fung¹¹sam¹¹cha²⁴long⁵⁵,05851,比喻事情被人弄得沸沸揚揚的。,諺
一年半載,id²ngien¹¹ban⁵⁵zai³¹,四⃞id²ngien¹¹ban⁵⁵zai³¹ 海⃞rhid⁵ngien⁵⁵ban¹¹zai²⁴ 大⃞rhid²¹ngien¹¹³ban⁵³zai³¹ 平⃞rhid²ngien⁵⁵ban⁵³zai⁵³ 安⃞rhid²⁴neen⁵³ban³¹zai³¹ 南⃞id²ngian¹¹ban⁵⁵zai³¹,05844,一年或半年。指一段不算短的時間。,副
一年透天,id²ngien¹¹teu⁵⁵tien²⁴,四⃞id²ngien¹¹teu⁵⁵tien²⁴ 海⃞rhid⁵ngien⁵⁵teu¹¹tien⁵³ 大⃞rhid²¹ngien¹¹³teu⁵³tien³³ 平⃞rhid²ngien⁵⁵teu⁵³tien¹¹ 安⃞rhid²⁴neen⁵³teu³¹teen¹¹ 南⃞id²ngian¹¹teu⁵⁵tien²⁴,05845,整年、全年。,副
一座屋,id²co⁵⁵vug²,四⃞id²co⁵⁵vug² 海⃞rhid⁵co³³vug⁵ 大⃞rhid²¹co⁵³vug²¹ 平⃞rhid²co²⁴vug² 安⃞rhid²⁴coo⁵⁵bbu²⁴ 南⃞id²co⁵⁵vug²,05829,指一棟房子。,名
一張嘴兩層皮，講好講壞由在佢,id²zong²⁴zoi⁵⁵liong³¹cen¹¹pi¹¹，gong³¹ho³¹gong³¹fai³¹iu¹¹cai⁵⁵gi¹¹,四⃞id²zong²⁴zoi⁵⁵liong³¹cen¹¹pi¹¹，gong³¹ho³¹gong³¹fai³¹iu¹¹cai⁵⁵gi¹¹ 海⃞rhid⁵zhong⁵³zhoi¹¹liong²⁴cen⁵⁵pi⁵⁵，gong²⁴ho²⁴gong²⁴fai²⁴rhiu⁵⁵cai³³gi⁵⁵ 大⃞rhid²¹zhong³³zhoi⁵³liong³¹cen¹¹³pi¹¹³，gong³¹ho³¹gong³¹fai³¹rhiu¹¹³cai⁵³gi¹¹³ 平⃞rhid²zhong¹¹zhe⁵³liong⁵³cen⁵⁵pi⁵⁵，gong⁵³ho⁵³gong⁵³fai²⁴rhiu⁵⁵cai²⁴gi⁵⁵ 南⃞id²zong²⁴zoi⁵⁵liong³¹cen¹¹pi¹¹，gong³¹ho³¹gong³¹fai³¹iu¹¹cai⁵⁵i¹¹,05863,意為說什麼隨他，是非真理總會分明。,諺
一心,id²xim²⁴,四⃞id²xim²⁴ 海⃞rhid⁵sim⁵³ 大⃞rhid²¹sim³³ 平⃞rhid²sim¹¹ 安⃞rhid²⁴sim¹¹ 南⃞id²xim²⁴,05826,全心全意。,形
一息,海⃞rhid⁵sid² 平⃞rhid²sid⁵ 南⃞id²xid²,海⃞rhid⁵sid² 平⃞rhid²sid⁵ 南⃞id²xid²,05825,四縣不說「一息」，說成「一息仔（音id²xid⁵e³¹）」。一點。,副
一息息,海⃞rhid⁵sid²sid² 平⃞rhid²sid⁵sid⁵ 南⃞id²xid²xid²,海⃞rhid⁵sid²sid² 平⃞rhid²sid⁵sid⁵ 南⃞id²xid²xid²,05839,四縣不說「一息息」，說成「一息息仔（音id²xid⁵xid⁵e³¹）」。一點點、一些些，形容極少。,副
一日到暗,id²ngid²do⁵⁵am⁵⁵,四⃞id²ngid²do⁵⁵am⁵⁵ 海⃞rhid⁵ngid⁵do¹¹am¹¹ 大⃞rhid²¹ngid²¹do⁵³am³¹ 平⃞rhid²ngid²do⁵³am⁵³ 安⃞rhid²⁴ngid²⁴doo³¹am³¹ 南⃞id²ngid²do⁵⁵am⁵⁵,05843,從早到晚。,副
一暗晡想千條頭路，天一光，本本賣豆腐,id²am⁵⁵bu²⁴xiong³¹qien²⁴tiau¹¹teu¹¹lu⁵⁵，tien²⁴id²gong²⁴，bun³¹bun³¹mai⁵⁵teu⁵⁵fu⁵⁵,四⃞id²am⁵⁵bu²⁴xiong³¹qien²⁴tiau¹¹teu¹¹lu⁵⁵，tien²⁴id²gong²⁴，bun³¹bun³¹mai⁵⁵teu⁵⁵fu⁵⁵ 海⃞rhid⁵am¹¹bu⁵³siong²⁴cien⁵³tiau⁵⁵teu⁵⁵lu³³，tien⁵³rhid⁵gong⁵³，bun²⁴bun²⁴mai³³teu³³fu³³ 大⃞rhid²¹am³¹bu³³siong³¹cien³³tiau¹¹³teu¹¹³lu⁵³，tien³³rhid²¹gong³³，bun³¹bun³¹mai⁵³teu⁵³fu⁵³ 平⃞rhid²am⁵³bu¹¹siong²⁴cien¹¹tiau⁵⁵teu⁵⁵lu²⁴，tien¹¹rhid²gong¹¹，bun⁵³bun⁵³mi²⁴teu²⁴fu²⁴ 南⃞id²am⁵⁵bu²⁴xiong³¹qien²⁴tiau¹¹teu¹¹lu⁵⁵，tien²⁴id²gong²⁴，bun³¹bun³¹mai⁵⁵teu⁵⁵fu⁵⁵,05864,只是空想，卻沒有實際的行動。,諺
一朝天子一朝臣,id²ceu¹¹tien²⁴zii³¹id²ceu¹¹siin¹¹,四⃞id²ceu¹¹tien²⁴zii³¹id²ceu¹¹siin¹¹ 海⃞rhid⁵chau⁵⁵tien⁵³zii²⁴rhid⁵chau⁵⁵shin⁵⁵ 大⃞rhid²¹cheu¹¹³tien³³zii³¹rhid²¹cheu¹¹³shin¹¹³ 平⃞rhid²chau⁵⁵tien¹¹zii⁵³rhid²chau⁵⁵shin⁵⁵ 南⃞id²ceu¹¹tien²⁴zii³¹id²ceu¹¹siin¹¹,05852,新的帝王登基，舊朝的臣僚便為新朝的臣僚取代。泛指主事者一旦更換，從屬也會隨之變動。含有任用私人、親信之意。,諺
一枚針,id²moi¹¹ziim²⁴,四⃞id²moi¹¹ziim²⁴ 海⃞rhid⁵mui⁵⁵zhim⁵³ 大⃞rhid²¹mun¹¹³zhim³³ 平⃞rhid²mui⁵⁵zhim¹¹ 南⃞id²moi¹¹ziim²⁴,05837,一根針。,名
一枝竹篙打一船人,id²gi²⁴zug²go²⁴da³¹id²son¹¹ngin¹¹,四⃞id²gi²⁴zug²go²⁴da³¹id²son¹¹ngin¹¹ 海⃞rhid⁵gi⁵³zhug⁵go⁵³da²⁴rhid⁵shon⁵⁵ngin⁵⁵ 大⃞rhid²¹gi³³zhug²¹go³³da³¹rhid²¹shon¹¹³ngin¹¹³ 平⃞rhid²gi¹¹zhug²go¹¹da⁵³rhid²shan⁵⁵ngin⁵⁵ 安⃞rhid²⁴gi¹¹zhu²⁴goo¹¹da³¹rhid²⁴fien⁵³ngin⁵³ 南⃞id²gi²⁴zug²go²⁴da³¹id²son¹¹ngin¹¹,05857,以偏概全的意思。,諺
一條歌仔,id²tiau¹¹go²⁴e³¹,四⃞id²tiau¹¹go²⁴e³¹ 海⃞rhid⁵tiau⁵⁵go⁵³er⁵⁵ 平⃞rhid²tiau⁵⁵go¹¹er⁵³ 南⃞id²tiau¹¹go²⁴e³¹,05848,一首歌。條，此為計算歌曲的單位。,名
一條索仔,id²tiau¹¹sog²e³¹,四⃞id²tiau¹¹sog²e³¹ 海⃞rhid⁵tiau⁵⁵sog⁵er⁵⁵ 平⃞rhid²tiau⁵⁵sog²er⁵³ 南⃞id²tiau¹¹sog²e³¹,05849,一條繩子。條，此為計算條狀物的單位。,名
一條腸仔透屎胐,id²tiau¹¹cong¹¹e³¹teu⁵⁵sii⁵⁵vud²,四⃞id²tiau¹¹cong¹¹e³¹teu⁵⁵sii⁵⁵vud² 海⃞rhid⁵tiau⁵⁵chong⁵⁵er⁵⁵teu¹¹shi³³vud⁵ 平⃞rhid²tiau⁵⁵chong⁵⁵er⁵³teu¹¹shi⁵³vud² 南⃞id²tiau¹¹cong¹¹e³¹teu⁵⁵sii⁵⁵fud²,05855,有話直說，有什麼說什麼。褒義形容人性情直爽，貶義指人守不住秘密。,諺
一概,id²koi³¹,四⃞id²koi³¹ 海⃞rhid⁵koi²⁴ 大⃞rhid²¹koi³¹ 平⃞rhid²koi⁵³ 安⃞rhid²⁴koi³¹ 南⃞id²koi³¹,05824,全部、一律。,副
一樣生，百樣死,id²iong⁵⁵sen²⁴，bag²iong⁵⁵xi³¹,四⃞id²iong⁵⁵sen²⁴，bag²iong⁵⁵xi³¹ 海⃞rhid⁵rhong³³sen⁵³，bag⁵rhong³³si²⁴ 大⃞rhid²¹rhong⁵³sen³³，bag²¹rhong⁵³si³¹ 平⃞rhid²rhiong²⁴sen¹¹，bag²rhiong²⁴si⁵³ 安⃞rhid²⁴rhiong⁵⁵sang¹¹，ba²⁴rhiong⁵⁵si³¹ 南⃞id²iong⁵⁵sen²⁴，bag²iong⁵⁵xi³¹,05854,人以相同的方式出生，死亡的方式則不相同。意指各人的造化不同。,諺
一樣飯供百樣人,id²iong⁵⁵fan⁵⁵giung⁵⁵bag²iong⁵⁵ngin¹¹,四⃞id²iong⁵⁵fan⁵⁵giung⁵⁵bag²iong⁵⁵ngin¹¹ 海⃞rhid⁵rhong³³pon³³giung¹¹bag⁵rhong³³ngin⁵⁵ 平⃞rhid²rhiong²⁴pon²⁴giung¹¹bag²rhiong²⁴ngin⁵⁵ 南⃞id²iong⁵⁵fan⁵⁵giung²⁴bag²iong⁵⁵ngin¹¹,05853,比喻人我之間各有不同的思想與行為。,諺
一滴,海⃞rhid⁵did² 大⃞rhid²¹did⁵⁴ 平⃞rhid²did⁵,海⃞rhid⁵did² 大⃞rhid²¹did⁵⁴ 平⃞rhid²did⁵,05823,四縣不說「一滴」，說成「一滴仔（音id²did⁵e³¹）」。一點點。,副
一甲當,id²gab²dong²⁴,四⃞id²gab²dong²⁴ 海⃞rhid⁵gab⁵dong⁵³ 大⃞rhid²¹gab²¹dong³³ 平⃞rhid²gab²dong¹¹ 南⃞id²gab²dong²⁴,05831,相當於一甲，用於計量土地面積。,形
一皮葉仔,id²pi¹¹iab⁵e³¹,四⃞id²pi¹¹iab⁵e³¹ 海⃞rhid⁵pi⁵⁵rhab²er⁵⁵ 平⃞rhid²pi⁵⁵rhiab⁵er⁵³ 南⃞id²pi¹¹iab⁵e³¹,05846,指一片葉子。皮，片也，計算樹葉等片狀物。,名
一穴地,id²hied⁵ti⁵⁵,四⃞id²hied⁵ti⁵⁵ 海⃞rhid⁵hied²ti³³ 大⃞rhid²¹hied⁵⁴ti⁵³ 平⃞rhid²hied⁵ti²⁴ 南⃞id²hiad⁵ti⁵⁵,05834,指一塊墳地，穴為計算墳地的單位。,名
一空一缺,id²kung²⁴id²kied²,四⃞id²kung²⁴id²kied² 海⃞rhid⁵kung⁵³rhid⁵kied⁵ 大⃞rhid²¹kung³³rhid²¹kied²¹ 平⃞rhid²kung¹¹rhid²kied² 安⃞rhid²⁴kung¹¹rhid²⁴kied²⁴ 南⃞id²kung²⁴id²kiad²,05841,每個小地方。,形
一般般,id²ban²⁴ban²⁴,四⃞id²ban²⁴ban²⁴ 海⃞rhid⁵ban⁵³ban⁵³ 大⃞rhid²¹ban³³ban³³ 平⃞rhid²ban¹¹ban¹¹ 南⃞id²ban²⁴ban²⁴,05827,相同、同樣。,形
一莊一俗,id²zong²⁴id²xiug⁵,四⃞id²zong²⁴id²xiug⁵ 海⃞rhid⁵zong⁵³rhid⁵siug² 大⃞rhid²¹zong³³rhid²¹siug⁵⁴ 平⃞rhid²zong¹¹rhid²siug⁵ 安⃞rhid²⁴zong¹¹rhid²⁴siu⁵⁵ 南⃞id²zong²⁴id²xiug⁵,05850,各鄉各有不同的風俗習慣，比喻各有不同。,諺
一角銀,id²gog²ngiun¹¹,四⃞id²gog²ngiun¹¹ 海⃞rhid⁵gog⁵ngiun⁵⁵ 大⃞rhid²¹gog²¹ngiun¹¹³ 平⃞rhid²gog²ngiun⁵⁵ 安⃞rhid²⁴goo²⁴ngun⁵³ 南⃞id²gog²ngiun¹¹,05833,一角。,名
一身屎,id²siin²⁴sii³¹,四⃞id²siin²⁴sii³¹ 海⃞rhid⁵shin⁵³shi²⁴ 大⃞rhid²¹shin³³shi³¹ 平⃞rhid²shin¹¹shi⁵³ 安⃞rhid²⁴shin¹¹shi³¹ 南⃞id²siin²⁴sii³¹,05838,全身都是糞便。|比喻一個人名譽掃地。,"名,形|名,形"
一身衫褲,id²siin²⁴sam²⁴fu⁵⁵,四⃞id²siin²⁴sam²⁴fu⁵⁵ 海⃞rhid⁵shin⁵³sam⁵³fu¹¹ 大⃞rhid²¹shin³³sam³³ku⁵³ 平⃞rhid²shin¹¹sam¹¹ku⁵³ 安⃞rhid²⁴shin¹¹sam¹¹ku³¹ 南⃞id²siin²⁴sam²⁴fu⁵⁵,05847,一套衣服。,名
一還一，二還二,id²van¹¹id²，ngi⁵⁵van¹¹ngi⁵⁵,四⃞id²van¹¹id²，ngi⁵⁵van¹¹ngi⁵⁵ 海⃞rhid⁵van⁵⁵rhid⁵，ngi³³van⁵⁵ngi³³ 大⃞rhid²¹van¹¹³rhid²¹，ngi⁵³van¹¹³ngi⁵³ 平⃞rhid²van⁵⁵rhid²，ngi²⁴van⁵⁵ngi²⁴ 安⃞rhid²⁴fan⁵³rhid²⁴，ngi⁵⁵fan⁵³ngi⁵⁵ 南⃞id²van¹¹id²，ngi⁵⁵van¹¹ngi⁵⁵,05856,意指彼此分清楚。,諺
一隻耳公入，一隻耳公出,id²zag²ngi³¹gung²⁴ngib⁵，id²zag²ngi³¹gung²⁴cud²,四⃞id²zag²ngi³¹gung²⁴ngib⁵，id²zag²ngi³¹gung²⁴cud² 海⃞rhid⁵zhag⁵ngi²⁴gung⁵³ngib²，rhid⁵zhag⁵ngi²⁴gung⁵³chud⁵ 大⃞rhid²¹zhag²¹ngi³¹gung³³ngib⁵⁴，rhid²¹zhag²¹ngi³¹gung³³chud²¹ 平⃞rhid²zhag²ngi⁵³gung¹¹ngib⁵，rhid²zhag²ngi⁵³gung¹¹chud² 南⃞id²zag²ngi³¹gung²⁴ngib⁵，id²zag²ngi³¹gung²⁴cud²,05860,耳邊風，比喻對聽到的事情毫不關心。,諺
一餐省一口，一年就有一斗,id²con²⁴sang³¹id²heu³¹，id²ngien¹¹qiu⁵⁵iu²⁴id²deu³¹,四⃞id²con²⁴sang³¹id²heu³¹，id²ngien¹¹qiu⁵⁵iu²⁴id²deu³¹ 海⃞rhid⁵con⁵³sang²⁴rhid⁵heu²⁴，rhid⁵ngien⁵⁵ciu³³rhiu⁵³rhid⁵deu²⁴ 平⃞rhid²con¹¹sang⁵³rhid²kieu⁵³，rhid²ngien⁵⁵ciu²⁴rhiu¹¹rhid²deu⁵³ 南⃞id²con²⁴sang³¹id²heu³¹，id²ngian¹¹qiu⁵⁵iu²⁴id²deu³¹,05861,滴水成湯。,諺
一駁,海⃞rhid⁵bog⁵ 大⃞rhid²¹bog²¹ 平⃞rhid²bog²,海⃞rhid⁵bog⁵ 大⃞rhid²¹bog²¹ 平⃞rhid²bog²,05822,四縣不說「一駁」，說成「一駁仔（音id²bog²e³¹）」。一陣子。,副
一鹿九鞭,id²lug⁵giu³¹bien²⁴,四⃞id²lug⁵giu³¹bien²⁴ 海⃞rhid⁵lug²giu²⁴bien⁵³ 大⃞rhid²¹lug⁵⁴giu³¹bien³³ 平⃞rhid²lug⁵giu⁵³bien¹¹ 安⃞rhid²⁴lu⁵⁵giu³¹bien¹¹ 南⃞id²lug⁵giu³¹bien²⁴,05842,假貨很多的意思。,諺
一點一撇,id²diam³¹id²pied²,四⃞id²diam³¹id²pied² 海⃞rhid⁵diam²⁴rhid⁵pied⁵ 大⃞rhid²¹diam³¹rhid²¹pied⁵⁴ 平⃞rhid²diam⁵³rhid²pied² 安⃞rhid²⁴deem³¹rhid²⁴pied²⁴ 南⃞id²diam³¹id²pied²,05840,一筆一劃。,名
丁,den²⁴,四⃞den²⁴ 海⃞den⁵³ 大⃞den³³ 平⃞den¹¹ 安⃞den¹¹ 南⃞den²⁴,02090,古代計數的符號，天干的第四位。|排列順序的等第。於甲、乙、丙之後，表示第四級或比較差的等級。|指成年男子。|人、人口。|從事於某一些勞動職業的人。|當、遭逢。|姓。,||||||
丁憂,den²⁴iu²⁴,四⃞den²⁴iu²⁴ 海⃞den⁵³rhiu⁵³ 大⃞den³³rhiu¹¹³ 平⃞den¹¹rhiu¹¹ 安⃞den¹¹rhiu¹¹ 南⃞den²⁴iu²⁴,02091,遭逢父母之喪。|於每次做七前夕孝子弔孝的儀式。,名|名
七,qid²,四⃞qid² 海⃞cid⁵ 大⃞cid²¹ 平⃞cid² 安⃞cid²⁴ 南⃞qid²,10631,一種自然數，介於六與八之間。大寫作「柒」，阿拉伯數字作「7」|民俗中做喪事每七日設奠一次，由頭七到尾七共需進行七次，叫「做七」。,|
七上八落,qid²song²⁴bad²log⁵,四⃞qid²song²⁴bad²log⁵ 海⃞cid⁵shong⁵³bad⁵log² 大⃞cid²¹shong³³bad²¹log⁵⁴ 平⃞cid²shong¹¹bad²log⁵ 安⃞cid²⁴shong⁵⁵beed²⁴loo⁵⁵ 南⃞qid²song²⁴bad²log⁵,10637,形容心緒起伏不定，忐忑、驚惶不安的樣子。,形
七個和尚八樣腔,qid²ge⁵⁵vo¹¹song⁵⁵bad²iong⁵⁵kiong²⁴,四⃞qid²ge⁵⁵vo¹¹song⁵⁵bad²iong⁵⁵kiong²⁴ 海⃞cid⁵gai¹¹vo⁵⁵shong³³bad⁵rhong³³kiong⁵³ 大⃞cid²¹gai⁵³vo¹¹³shong⁵³bad²¹rhong⁵³kiong³³ 平⃞cid²gai⁵³vo⁵⁵shong²⁴bad²rhiong²⁴kiong¹¹ 南⃞qid²ge⁵⁵vo¹¹song⁵⁵bad²iong⁵⁵kiong²⁴,10640,形容人多口雜，主張不一致，各有各的說法。,諺
七坐、八爬、九生牙,qid²co²⁴、bad²pa¹¹、giu³¹sang²⁴nga¹¹,四⃞qid²co²⁴、bad²pa¹¹、giu³¹sang²⁴nga¹¹ 海⃞cid⁵co⁵³、bad⁵pa⁵⁵、giu²⁴sang⁵³nga⁵⁵ 大⃞cid²¹co³³、bad²¹pa¹¹³、giu³¹sang³³nga¹¹³ 平⃞cid²co¹¹、bad²pa⁵⁵、giu⁵³sang¹¹nga⁵⁵ 安⃞cid²⁴coo¹¹、beed²⁴pa⁵³、giu³¹sang¹¹nga⁵³ 南⃞qid²co²⁴、bad²pa¹¹、giu³¹sang²⁴nga¹¹,10641,指幼兒成長的過程，七個月能坐，八個月能爬，到了九個月就會長牙齒；此為古早先人經驗法則的一種說法。,諺
七姑星,qid²gu²⁴sen²⁴,四⃞qid²gu²⁴sen²⁴ 海⃞cid⁵gu⁵³siang⁵³ 平⃞cid²gu¹¹sen¹¹ 安⃞cid²⁴gu¹¹sen¹¹,10633,即M⁴⁵昴宿星團（The Pleiades Star Cluster）又稱做「七姊妹星團」。它至少包含五百顆較暗的恆星，距地球約三百五十光年。是個非常明亮的疏散星團，即使在有光害的都市裡也能看見，古阿拉伯人曾用以測驗士兵的視力，視力正常的人裸眼可看到六顆星。通常於每年立春前後、黃昏時會出現於天頂。最近科學家又發現在這星團中含有低量、昏暗的棕矮星。,
七娘生,qid²ngiong¹¹sang²⁴,四⃞qid²ngiong¹¹sang²⁴ 海⃞cid⁵ngiong⁵⁵sang⁵³ 大⃞cid²¹ngiong¹¹³sang³³ 平⃞cid²ngiong⁵⁵sang¹¹ 安⃞cid²⁴ngiong⁵³sang¹¹ 南⃞qid²ngiong¹¹sang²⁴,10634,節日名。每年農曆的七月七日。相傳此日夜晚為天上牛郎織女一年一度相會的時刻，後世逐定此日為中國情人節。通常婦女會在此日於庭院中陳列瓜果祭拜，並穿七孔針以向織女乞求巧藝。,
七孔八竅,qid²kung³¹bad²kieu⁵⁵,四⃞qid²kung³¹bad²kieu⁵⁵ 海⃞cid⁵kung²⁴bad⁵kiau¹¹ 大⃞cid²¹kung³¹bad²¹kiau⁵³ 平⃞cid²kung⁵³bad²kiau⁵³ 安⃞cid²⁴kung³¹beed²⁴kio³¹ 南⃞qid²kung³¹bad²kieu⁵⁵,10636,形容人思慮周詳，聰慧多謀略。,形
七層塔,qid²cen¹¹tab²,四⃞qid²cen¹¹tab² 海⃞cid⁵cen⁵⁵tab⁵ 安⃞cid²⁴cen⁵³teb²⁴ 南⃞qid²qien¹¹cab²,10632,植物名。客語稱「七層塔」，學老話與國語稱「九層塔」。以花像層層的高塔，故名。其嫩莖及葉可作蔬菜食用，因具特殊香氣，可提煉精油，為香料及其他工業原料。亦可入藥。又稱為「七緣塔」。,
七後生，八後生，毋多知仔轉唐山,qid²heu⁵⁵sang²⁴，bad²heu⁵⁵sang²⁴，m¹¹do²⁴di²⁴e³¹zon³¹tong¹¹san²⁴,四⃞qid²heu⁵⁵sang²⁴，bad²heu⁵⁵sang²⁴，m¹¹do²⁴di²⁴e³¹zon³¹tong¹¹san²⁴ 海⃞cid⁵heu³³sang⁵³，bad⁵heu³³sang⁵³，m⁵⁵do⁵³di⁵³er⁵⁵zhon²⁴tong⁵⁵san⁵³ 平⃞cid²heu²⁴sang¹¹，bad²heu²⁴sang¹¹，m⁵⁵do¹¹di¹¹er⁵³zhan⁵³cong⁵⁵san¹¹ 南⃞qid²heu⁵⁵sang²⁴，bad²heu⁵⁵sang²⁴，m¹¹do²⁴di²⁴e²⁴zon³¹tong¹¹san²⁴,10643,自己總認為還很年輕，可是在不知不覺間就到了死期。比喻人生苦短。,諺
七手八腳,qid²su³¹bad²giog²,四⃞qid²su³¹bad²giog² 海⃞cid⁵shiu²⁴bad⁵giog⁵ 大⃞cid²¹shiu³¹bad²¹giog²¹ 平⃞cid²shiu⁵³bad²giog² 安⃞cid²⁴shiu³¹beed²⁴gio²⁴ 南⃞qid²su³¹bad²giog²,10638,形容人多，動作紛亂，失了條理。,形
七早八早,qid²zo³¹bad²zo³¹,四⃞qid²zo³¹bad²zo³¹ 海⃞cid⁵zo²⁴bad⁵zo²⁴ 大⃞cid²¹zo³¹bad²¹zo³¹ 平⃞cid²zo⁵³bad²zo⁵³ 安⃞cid²⁴zoo³¹beed²⁴zoo³¹ 南⃞qid²zo³¹bad²zo³¹,10639,形容時間非常早。,形
七月半个鴨仔－－毋知死,qid²ngied⁵ban⁵⁵ge⁵⁵ab²e³¹－－m¹¹di²⁴xi³¹,四⃞qid²ngied⁵ban⁵⁵ge⁵⁵ab²e³¹－－m¹¹di²⁴xi³¹ 海⃞cid⁵ngied²ban¹¹gai¹¹ab⁵er⁵⁵－－m⁵⁵di⁵³si²⁴ 平⃞cid²ngied⁵ban⁵³gai⁵³ab²er⁵³－－m⁵⁵di¹¹si⁵³ 南⃞qid²ngiad⁵ban⁵⁵ge⁵⁵ab²e³¹－－m¹¹di²⁴xi³¹,10642,七月半普渡鬼魂都是殺鴨，不殺雞。七月半到了，鴨子不了解人間習俗，仍然到處晃蕩，不知道死期快到了；比喻人們不知危險就要來臨，提醒人們要認清所處的環境，密切注意其變化，並適切的予以回應。,諺
七除八扣,qid²cu¹¹bad²kieu⁵⁵,四⃞qid²cu¹¹bad²kieu⁵⁵ 海⃞cid⁵chu⁵⁵bad⁵kieu¹¹ 大⃞cid²¹chu¹¹³bad²¹kieu⁵³ 平⃞cid²chu⁵⁵bad²kieu⁵³ 安⃞cid²⁴chi⁵³beed²⁴keu³¹,10635,指計算時一再折扣，從總數中盡量減除。猶言「東扣西扣」,形
丈,cong²⁴,四⃞cong²⁴ 海⃞chong⁵³ 大⃞chong³³ 平⃞chong¹¹ 安⃞chong¹¹ 南⃞cong²⁴,01480,稱謂。對年輩較尊者的稱呼，如姻親尊長…等。,
丈,cong⁵⁵,四⃞cong⁵⁵ 海⃞chong³³ 大⃞chong⁵³ 平⃞chong²⁴ 安⃞chong⁵⁵ 南⃞cong⁵⁵,01544,量詞。計測長度的一種單位，如公制一丈等於十公尺。|測量、計算。|稱謂。,||
丈人哀,cong²⁴ngin¹¹oi²⁴,四⃞cong²⁴ngin¹¹oi²⁴ 海⃞chong⁵³ngin⁵⁵oi⁵³ 大⃞chong³³min¹¹³oi³³ 平⃞chong²⁴min¹¹oi¹¹ 南⃞cong²⁴ngin¹¹oi²⁴,01482,稱謂。稱自己妻子的母親。,
丈人婆,cong²⁴ngin¹¹po¹¹,四⃞cong²⁴ngin¹¹po¹¹ 海⃞chong⁵³ngin⁵⁵po⁵⁵ 大⃞chong³³min¹¹³po¹¹³ 平⃞chong¹¹min¹¹po⁵⁵,01483,稱謂。稱自己妻子的祖母。,
丈人老,cong²⁴ngin¹¹lo³¹,四⃞cong²⁴ngin¹¹lo³¹ 海⃞chong⁵³ngin⁵⁵lo²⁴ 大⃞chong³³min¹¹³lo³¹ 平⃞chong¹¹min¹¹lo⁵³ 南⃞cong²⁴ngin¹¹lo³¹,01481,稱謂。稱自己妻子的父親。,
丈夫,cong⁵⁵fu²⁴,四⃞cong⁵⁵fu²⁴ 海⃞chong³³fu⁵³ 大⃞chong⁵³fu³³ 平⃞chong²⁴fu¹¹ 安⃞chong⁵⁵bu¹¹ 南⃞cong⁵⁵fu²⁴,01545,泛指成年男子的通稱。|稱謂。婦人稱呼和自己有婚姻關係的男子。,名|名
丈量,cong⁵⁵liong¹¹,四⃞cong⁵⁵liong¹¹ 海⃞chong³³liong⁵⁵ 大⃞chong⁵³liong¹¹³ 平⃞chong²⁴liong⁵⁵ 安⃞chong⁵⁵liong⁵³ 南⃞cong⁵⁵liong¹¹,01546,用尺或其他工具測量、估計。,動
三,sam²⁴,四⃞sam²⁴ 海⃞sam⁵³ 大⃞sam³³ 平⃞sam¹¹ 安⃞sam¹¹ 南⃞sam²⁴,11041,自然數。介於二與四之間。大寫作「參」，阿拉伯數字作「3」|位於第三的。|表示多數或多次的。,||
三七二十一,sam²⁴qid²ngi⁵⁵siib⁵id²,四⃞sam²⁴qid²ngi⁵⁵siib⁵id² 海⃞sam⁵³cid⁵ngi³³shib²rhid⁵ 大⃞sam³³cid²¹ngi⁵³shib⁵⁴rhid²¹ 平⃞sam¹¹cid²ngi²⁴shib⁵rhid² 安⃞sam¹¹cid²⁴ngi⁵⁵shib⁴³rhid²⁴ 南⃞sam²⁴qid²ngi⁵⁵siib⁵id²,11067,本為數學乘法的口訣，借比喻為不顧一切，不論是非情由。,形
