traditional,pronunciation,pronunciations,audio,definitions,pos
咕,gu¹¹,四⃞gu¹¹ 海⃞gu⁵⁵ 大⃞gu¹¹³ 平⃞gu⁵⁵ 安⃞gu¹¹ 南⃞gu¹¹,04608,狀聲詞。通常用來形容動物的叫聲或說話聲。,
咕,gu⁵⁵,四⃞gu⁵⁵ 海⃞gu¹¹ 大⃞gu⁵³ 平⃞gu⁵³ 安⃞gu³¹ 南⃞gu⁵⁵,15321,見「咕咕咕咕」。,
咕咕咕咕,gu¹¹gu¹¹gu⁵⁵gu⁵⁵,四⃞gu¹¹gu¹¹gu⁵⁵gu⁵⁵ 海⃞gu⁵⁵gu⁵⁵gu¹¹gu¹¹ 大⃞gu¹¹³gu¹¹³gu⁵³gu⁵³ 平⃞gu⁵⁵gu⁵⁵gu⁵³gu⁵³ 南⃞gu¹¹gu¹¹gu⁵⁵gu⁵⁵,04609,私下低聲說話。,擬
咖,ga²⁴,四⃞ga²⁴ 海⃞ga⁵³ 大⃞ga³³ 平⃞ga¹¹ 安⃞ga¹¹ 南⃞ga²⁴,03396,譯音用字。例如：【咖啡】。,
咖啡,ga²⁴bi²⁴,四⃞ga²⁴bi²⁴ 海⃞ga⁵³bi⁵³ 大⃞ga³³bi³³ 平⃞ga¹¹bi¹¹ 安⃞ga¹¹bi¹¹ 南⃞ga²⁴bi²⁴,03397,為英語「coffee」的音譯。植物名。茜草科咖啡樹屬，陰光性常綠灌木。原產於東非，現多栽培於熱帶地區．種子焙乾後研成細末可沖泡為飲料，即現今之飲品「咖啡」，有健胃及興奮神經的功效。,
咦,i²⁴,四⃞i²⁴ 海⃞rhi²⁴ 大⃞i³⁵ 平⃞rhi²⁴ 南⃞e²⁴,05664,驚訝、懷疑的語氣。,
咨,zii²⁴,四⃞zii²⁴ 海⃞zii⁵³ 大⃞zii³³ 平⃞zii¹¹ 安⃞zu¹¹ 南⃞zii²⁴,14456,一種平行機關往來的公文。今僅總統與立法、監察兩院公文往復時使用，其他平行機關則用「函」。|表示感嘆的語氣。,|
咬,ngau²⁴,四⃞ngau²⁴ 海⃞ngau⁵³ 大⃞ngau³³ 平⃞ngau¹¹ 安⃞ngau¹¹ 南⃞ngau²⁴,09239,用牙齒夾住或切斷東西。,
咬得落,ngau²⁴ded²log⁵,四⃞ngau²⁴ded²log⁵ 海⃞ngau⁵³ded⁵log² 大⃞ngau³³ded²¹log⁵⁴ 平⃞ngau¹¹ded²log⁵ 南⃞ngau²⁴ded²log⁵,09241,咬得動、咬得下去。,動
咬核,ngau²⁴hed⁵,四⃞ngau²⁴hed⁵ 海⃞ngau⁵³hed² 大⃞ngau³³hed⁵⁴ 平⃞ngau¹¹hed⁵,09240,咬住，用牙齒將東西夾住。|密合。,動|動
