word,frequency
tvrdi,4.76
ubio,4.76
ujedno,4.76
znaš,4.76
životinje,4.76
autora,4.75
barem,4.75
borbu,4.75
dobije,4.75
dogodilo,4.75
dovesti,4.75
drago,4.75
državne,4.75
govoriti,4.75
hercegovini,4.75
hiljade,4.75
ideju,4.75
imalo,4.75
kosovu,4.75
le,4.75
mog,4.75
moram,4.75
morati,4.75
navodno,4.75
objavljen,4.75
odgovori,4.75
osvojila,4.75
ovome,4.75
park,4.75
pisao,4.75
pojava,4.75
pokušava,4.75
policije,4.75
pravoslavne,4.75
radu,4.75
skup,4.75
snagu,4.75
sredine,4.75
stvaranje,4.75
tiče,4.75
traje,4.75
trenutak,4.75
univerzitetu,4.75
vodio,4.75
vratiti,4.75
zanimljivo,4.75
apsolutno,4.74
dala,4.74
don,4.74
dušu,4.74
funkcija,4.74
gora,4.74
harry,4.74
izgubio,4.74
izraz,4.74
koristeći,4.74
kraljica,4.74
molim,4.74
mr,4.74
napustio,4.74
nemam,4.74
nemojte,4.74
niste,4.74
njom,4.74
novine,4.74
pažljivo,4.74
pokazao,4.74
pokušaj,4.74
politička,4.74
postane,4.74
početi,4.74
prijateljima,4.74
proizvodnju,4.74
proveo,4.74
prvim,4.74
reka,4.74
skladu,4.74
sljedeći,4.74
stranice,4.74
svoga,4.74
svuda,4.74
takvo,4.74
tjedna,4.74
usled,4.74
učini,4.74
učinio,4.74
visoko,4.74
zaštitu,4.74
zgrade,4.74
°,4.74
čast,4.74
čuo,4.74
adresu,4.73
bivše,4.73
br,4.73
brojnim,4.73
dug,4.73
frank,4.73
igrača,4.73
mary,4.73
međunarodna,4.73
međuvremenu,4.73
mogućnosti,4.73
mom,4.73
morali,4.73
narodna,4.73
nemamo,4.73
njihovog,4.73
operacija,4.73
peter,4.73
pojavio,4.73
politike,4.73
poslednja,4.73
procesa,4.73
prošlosti,4.73
same,4.73
sestre,4.73
situaciju,4.73
sklopu,4.73
sredinom,4.73
starog,4.73
struktura,4.73
studije,4.73
telefon,4.73
teritoriji,4.73
treće,4.73
većinu,4.73
vraća,4.73
vrh,4.73
čovjeka,4.73
aleksandra,4.72
broda,4.72
daju,4.72
datum,4.72
dnk,4.72
dobri,4.72
dužnost,4.72
glava,4.72
gradovima,4.72
imenu,4.72
istu,4.72
jack,4.72
kine,4.72
kćer,4.72
manji,4.72
materijal,4.72
misle,4.72
nastavlja,4.72
njihovim,4.72
odbora,4.72
ode,4.72
odluku,4.72
osiguranje,4.72
osnovnim,4.72
ostatak,4.72
ostrva,4.72
postavljen,4.72
predsednika,4.72
premijera,4.72
rusiji,4.72
ruske,4.72
služio,4.72
sport,4.72
sumnje,4.72
sunce,4.72
takvu,4.72
usta,4.72
uzeti,4.72
važan,4.72
zatvora,4.72
završava,4.72
značajan,4.72
