id,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
51,1.14.1,V O 了,,V O le ,have V’ed O,,他去学校了。,He went to learn how to drive.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863659
52,1.14.1,V 了 O,,V le O ,have V’ed O,,我买了不少衣服。,I bought a lot of clothes.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863659
53,1.14.1,没 V O,,méi V O ,have not V’ed O,,她没去商店。,She didn’t go to the store.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863659
54,1.14.2,TIME 后,,TIME hòu ,after TIME,,五点后,after 5,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863661
55,1.14.2,DURATION 后,,DURATION hòu ,after DURATION,,四十分钟后,after 40 minutes,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863661
56,1.14.3,……啊,,…… ā ,(exclamation),,好啊。是啊。,Sure! Yeah!,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863660
57,1.14.4,都 N,,dōu N ,both Ns,,我们都是中国人。,We both are Chinese.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863662
58,1.15.1,S 是 MANNER V 的,,S shì MANNER V de ,it is MANNER that S V,,我们是开车来的。,We drove here. (Lit. It is [by] driving that we came here.),https://chinesezerotohero.teachable.com/courses/188342/lectures/2863664
59,1.15.2,年,,nián ,year,,二零一七年,Year 2017,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863666
60,2.01.1,要,,yào ,"want to, will",,王芳要学英语。,Wang Fang wants to / will learn English.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949023
61,2.01.2,最,,zuì ,the most,,它的眼睛最漂亮。,Its eyes are the prettiest.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949025
62,2.01.3,几,,jǐ ,several,,几本书,several books,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
63,2.01.3,十几,,shíjǐ ,(any # from 11 to 19),,十几本书,a dozen or more books,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
64,2.01.3,几十,,jǐ shí ,tens of,,几十本书,tens of people,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
65,2.01.3,# 几/多,,# jǐ/ duō ,over #,,二十几本书/二十多本书,twenty something books,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
66,2.01.3,# M 多 月/星期,,# M duō yuè/ xīngqī ,over # of months/weeks,,两个多月，三个多星期,"over two months, over three weeks",https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
67,2.02.1,V不V or A不A,,V bùV or A bùA ,(questions),,我去商店，你去不去？,"I’m going to the shop, are you going?",https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
68,2.02.1,是不是……？,,shìbùshì……？ ,Is it true that…?,,你是不是喜欢运动？,Is it true that you like to exercise?,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949020
69,2.02.2,每 M N (都) V,,měi M N ( dōu) V ,every N V,,你每个星期六(都)工作吗？,Do you work every Saturday (without exception)?,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949026
70,2.02.3,多 A,,duō A ,how A,,他多高？,How tall is he?,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949027
71,2.03.1,的 (N),,de (N) ,(omitting nouns after 的),,这个杯子是昨天买的(杯子)。,This cup is the one (cup) that was bought yesterday.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949031
